Age Range,Industry, Job title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
35-44,Health Care,Scientist Ii,118000,22000,United StatesD,United States,MassachUnited Statesetts,Cambridge ,8 - 10 years,5 - 7 years,PhD,Woman
35-44,Government And Public Administration,Senior Analyst,118000,0,United StatesD,United States,Georgia,Atlanta,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Health Care,Technology Strategist,118000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Law,Lawyer / Public Servant,118000,0,CAD,Canada,Unknown,Ottawa,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Recruitment Or Hr,Diversity Manager,118000,5000,United StatesD,United States,New York,New York City ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Health Care,Principal Analyst,118000,11800,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Health Care,Senior Project Manager,118000,5000,United StatesD,United States,New York,NYC,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Production Manager,117500,6000,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Government And Public Administration,Program Analyst,117500,1500,United StatesD,United States,Unknown,Washington DC,8 - 10 years,5 - 7 years,Master's degree,Unknown
25-34,Computing Or Tech,It Project Manager,117500,11750,United StatesD,United States,Pennsylvania,Philadelphia ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Health Care,Director Of Cunited Statestomer Success,117500,15000,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Retail,Data Analyst,117500,9400,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Early Childhood Education,Senior Strategic Bunited Statesiness Developer,117500,11750,United StatesD,United States,Oregon,Portland,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Computing Or Tech,Qa Engineer,117300,17595,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,Some college,Non-binary
25-34,Computing Or Tech,Senior Software Engineer,117000,0,United StatesD,United States,Virginia,Charlottesville,8 - 10 years,5 - 7 years,Master's degree,Man
35-44,Computing Or Tech,Bunited Statesiness Operations (Data Analyst),117000,5000,United StatesD,United States,California,Remote (Southern CA),8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Recruitment Or Hr,People Operations Manager,116208,0,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Senior Project Manager,116000,116000,United StatesD,United States,Indiana,Indianapolis ,8 - 10 years,5 - 7 years,Some college,Woman
35-44,Engineering Or Manufacturing,Product Architect,116000,10000,United StatesD,United States,Rhode Island,Narragansett,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Bunited Statesiness Or Consulting,Senior Consultant,116000,5000,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Director Of Cunited Statestomer Success,116000,10000,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Associate Marketing Manager ,116000,11600,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Bunited Statesiness Intelligence Engineer,115400,70000,United StatesD,United States,Washington,Seattle,8 - 10 years,2 - 4 years,College degree,Man
25-34,"Marketing, Advertising & Pr","Associate Director, Finance Operations",115000,5000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Investor Relations Analyst ,115000,5000,United StatesD,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Direct Response Copywriter,115000,0,United StatesD,United States,Virginia,Alexandria,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Recruitment Or Hr,Hr Bunited Statesiness Partner,115000,11500,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,People Operations Manager,115000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Education (Higher Education),Assistant Professor ,115000,0,United StatesD,United States,North Carolina,Chapel Hill,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Government And Public Administration,Senior Analyst,115000,0,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Software Developer,115000,11500,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Product Manager,115000,0,United StatesD,United States,New York,New York City,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Entertainment,"Senior Manager, Marketing Strategy",115000,3000,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Financial Systems Analyst,115000,0,United StatesD,United States,California,Irvine,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Senior Sem Analyst,115000,35000,United StatesD,United States,MassachUnited Statesetts,Boston area,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Data Analytics Manager ,115000,11500,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Nonprofits,"Director, Program Implementation",115000,0,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Support Engineer,115000,0,United StatesD,United States,California,San Francisco ,8 - 10 years,5 - 7 years,Some college,Man
25-34,Law,Financial Systems Manager,115000,3000,United StatesD,United States,Minnesota,Minneapolis,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,Marketing Manager,115000,15000,United StatesD,United States,Connecticut,Hartford,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Associate Director,115000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Retail,Marketing Manager ,115000,10000,United StatesD,United States,New York,New York ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Executive Communications Manager,115000,0,United StatesD,United States,New York,New York ,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Hospitality & Events,Director Of Guest Experience,115000,0,United StatesD,United States,New York,New York,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Unknown,Data Analytics Engineer,115000,11500,United StatesD,United States,Indiana,Indianapolis,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Education (Primary/Secondary),Managing Director Data Science And Analytics ,115000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Computing Or Tech,Senior Software Developer,115000,0,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Engineering Or Manufacturing,Senior Electrical Engineer,115000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Director Of Operations,115000,0,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,College degree,Man
25-34,Entertainment,Program Manager,115000,17250,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Computing Or Tech,Sr Project Manager ,115000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Art & Design,Senior Ux Designer,115000,0,United StatesD,United States,Virginia,Fairfax,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Law,Associate Lawyer,114900,20000,CAD,Canada,Unknown,Saskatoon,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Government And Public Administration,Foreign Affairs Officer,114059,0,United StatesD,United States,District of Columbia,Washington ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Philanthropy ,Sr Associate/ Program Officer,114000,0,United StatesD,United States,District of Columbia,Washington DC ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Utilities & Telecommunications,Regulatory Compliance Advisor,114000,11400,AUD/NZD,Australia,Unknown,Melbourne,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Project Manager,114000,1000,AUD/NZD,New Zealand,Unknown,Auckland,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Property Or Construction,Director Of Research & Market Strategy,113400,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Senior Counsel,113300,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Man
35-44,Law,Deputy Counsel,113000,0,United StatesD,United States,California,Sacramento,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,"Marketing, Advertising & Pr",Associate Director Of Marketing,113000,16000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Law,Attorney ,113000,0,United StatesD,United States,Washington,Seattle ,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,"Accounting, Banking & Finance",Accounting Manager,113000,40000,United StatesD,United States,Minnesota,Minneapolis ,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Biotech,Clinical Laboratory Scientist,113000,10000,United StatesD,United States,California,South San Francisco,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Staff Technologist,113000,18000,United StatesD,United States,Maryland,Annapolis Junction,8 - 10 years,5 - 7 years,College degree,Man
35-44,Engineering Or Manufacturing,Senior Mechanical Engineer,113000,0,United StatesD,United States,Kansas,Overland Park ,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Senior Ux Designer,113000,15000,United StatesD,United States,Utah,Salt Lake City,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Sr. Information Security Officer,112550,0,United StatesD,United States,Connecticut,Hartford,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Health Care,Speech Language Pathologist,112320,0,United StatesD,United States,New York,Medford,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Transport Or Logistics,Software Engineer Intern,112320,0,United StatesD,United States,California,Los Angeles,8 - 10 years,1 year or less,College degree,Woman
35-44,Compliance,Senior Manager,112000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Education (Primary/Secondary),Assistant Principal,112000,0,United StatesD,United States,California,Redwood City,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Software Engineer,112000,21000,CHF,Switzerland,Unknown,Zürich,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,"Director, Data Management",112000,20000,United StatesD,United States,Indiana,Indianapolis ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Product Manager,112000,30000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,College degree,Woman
25-34,International Development (Multilateral Donor),Urban Specialist,111360,41363,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Insurance,Underwriting Manager,111000,0,United StatesD,United States,California,Sacramento,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Project Officer,111000,0,AUD/NZD,Australia,Unknown,Sydney,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Government And Public Administration,Data Statistician,110603,100,United StatesD,United States,Maryland,Rockville,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Government And Public Administration,Systems Librarian,110000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Utilities & Telecommunications,Program Manager,110000,10000,United StatesD,United States,Missouri,St. Louis,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Project Manager,110000,5000,United StatesD,United States,Unknown,San Francisco,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,"Senior Manager, Impact",110000,27500,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Transport Or Logistics,General Manager Of Fulfillment ,110000,0,United StatesD,United States,Tennessee,Memphis,8 - 10 years,5 - 7 years,College degree,Man
25-34,Government Contracting,Senior It Training Specialist,110000,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Engagement Manager,110000,11000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Some college,Man
35-44,"Accounting, Banking & Finance",Principal Analyst,110000,20000,United StatesD,United States,North Carolina,Raleigh,8 - 10 years,2 - 4 years,Master's degree,Unknown
25-34,Hospitality & Events,Controller,110000,0,United StatesD,United States,Oklahoma,Oklahoma City ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Health Care,Director Of Communications,110000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Director Of Accounting And Finance,110000,12000,United StatesD,United States,Texas,San Antonio,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Front End Software Engineer,110000,10000,United StatesD,United States,Minnesota,Minneapolis,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Product Manager,110000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Computing Or Tech,Software Engineer,110000,0,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Computing Or Tech,Associate Technical Account Manager,110000,40000,United StatesD,United States,Missouri,Jefferson City,8 - 10 years,5 - 7 years,College degree,Non-binary
25-34,Computing Or Tech,Cloud Engineer,110000,10000,AUD/NZD,Australia,Unknown,Melbourne,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Insurance,"Manager, Actuarial",110000,18000,United StatesD,United States,New Jersey,Newark,8 - 10 years,5 - 7 years,College degree,Man
25-34,Law,Attorney,110000,0,United StatesD,United States,Texas,San Antonio,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Sales Engineer,110000,50000,United StatesD,United States,Tennessee,Nashville ,8 - 10 years,1 year or less,College degree,Woman
25-34,"Marketing, Advertising & Pr",Sales Compensation Analyst,110000,5000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Management & Strategy Consltant,110000,3000,United StatesD,United States,Texas,Dallas,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Bunited Statesiness Or Consulting,Director,110000,0,United StatesD,United States,New York,New York,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Government And Public Administration,Program Manager ,110000,0,United StatesD,United States,District of Columbia,Washington DC ,8 - 10 years,2 - 4 years,College degree,Unknown
25-34,Media & Digital,Freelance Videographer ,110000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Man
25-34,Government And Public Administration,Associate Director Of Analytics,110000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Recruitment Or Hr,Hr Bunited Statesiness Partner ,110000,10000,United StatesD,United States,Florida,Tampa,8 - 10 years,5 - 7 years,Master's degree,Unknown
25-34,Government And Public Administration,Cunited Statestomer Account Manager ,110000,0,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Global Financial Crimes Director ,110000,15000,United StatesD,United States,New York,New York,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Director Of Organizational Operations,110000,0,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Property Or Construction,Data Analyst,110000,5000,United StatesD,United States,Virginia,Richmond,8 - 10 years,1 year or less,College degree,Woman
25-34,Health Care,Veterinarian,110000,2000,United StatesD,United States,Georgia,"Alpharetta, GA",8 - 10 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Art & Design,Ux/Product Designer,110000,40000,CAD,Canada,Unknown,Vancouver,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Product Manager,110000,10000,United StatesD,United States,Pennsylvania,Philadelphia ,8 - 10 years,1 year or less,College degree,Woman
35-44,Government And Public Administration,Budget Analyst,110000,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Health Care,Operations Manager,110000,0,United StatesD,United States,Minnesota,Rochester,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Bunited Statesiness Or Consulting,Director,110000,25000,United StatesD,United States,New York,NYC ,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Education (Higher Education),Director,110000,0,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Transport Or Logistics,Import Trade Compliance,110000,60000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
35-44,"Accounting, Banking & Finance","Consultant (In-Hounited Statese, Not Freelance)",110000,20000,United StatesD,United States,Washington,Olympia,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Government And Public Administration,Hr Specialist,108518,0,United StatesD,United States,North Carolina,Durham,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Engineering Or Manufacturing,Facilities Mechanical Engineer,108306,20000,United StatesD,United States,Oregon,Hillsboro,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Insurance,Director Of Research And Strategy,108000,16000,CAD,Canada,Unknown,London,8 - 10 years,5 - 7 years,PhD,Man
25-34,Computing Or Tech,Program Manager ,108000,70000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Policy Advisor,108000,10000,CAD,Canada,Unknown,Ottawa,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Data Visualization Consultant,108000,2000,United StatesD,United States,California,Lake Forest,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Health Care,Project Manager,108000,8000,United StatesD,United States,California,Aliso Viejo,8 - 10 years,1 year or less,Master's degree,Woman
25-34,Government And Public Administration,Transit Planner,108000,0,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Informatics Section Manager,107500,0,United StatesD,United States,Washington,Olympia,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Senior Financial Analyst,107220,16083,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Restaurant/Service,Sr Data Analyst,107000,6000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Director Of Policy,107000,0,United StatesD,United States,California,n/a,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Sr. Bunited Statesiness Analyst,107000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Some college,Woman
35-44,Energy,"It Manager, Service Desk And Deskside Support",107000,20000,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Archivist,107000,0,United StatesD,United States,Maryland,College Park,8 - 10 years,5 - 7 years,Master's degree,Woman
45-54,Health Care,Biologist,107000,0,United StatesD,United States,Maryland,Rockville,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Computing Or Tech,Product Manager,107000,0,AUD/NZD,Australia,Unknown,Melbourne,8 - 10 years,5 - 7 years,PhD,Man
25-34,Health Care,Digital Product Manager,107000,0,United StatesD,United States,Oregon,Portland ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Recruitment Or Hr,Recruiting Lead,106600,10000,United StatesD,United States,California,Irvine,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Government And Public Administration,Scientific Grants Management ,106000,0,United StatesD,United States,Maryland,Frederick,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Computing Or Tech,Data Scientist,106000,6000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,"Team Lead, Etl Specialist",106000,0,CAD,Canada,Unknown,Ottawa,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Transport Or Logistics,Product Manager ,106000,5000,United StatesD,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Senior Program Manager ,106000,3000,EUR,Ireland,Unknown,Dublin ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Bsa Manager,106000,0,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,College degree,Unknown
25-34,Utilities & Telecommunications,"Senior Advisor, Decision Support",105500,11000,CAD,Canada,Unknown,Toronto,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Property Or Construction,Project Manager ,105500,2520,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Nonprofits,Director Of Public Policy & Government Affairs,105300,500,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,PhD,Woman
25-34,Hospitality & Events,Senior Manager Of Strategy,105000,30750,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Operations Branch Chief,105000,3000,United StatesD,United States,Ohio,Dayton,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Engineering Or Manufacturing,Senior Engineer ,105000,13000,United StatesD,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Strategic Sourcing Manager,105000,12000,United StatesD,United States,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Engineering Or Manufacturing,Project Manager,105000,12500,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Project Manager,105000,15000,United StatesD,United States,Texas,Dallas,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Government And Public Administration,Financial Management Analyst,105000,0,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Software Engineer,105000,0,United StatesD,United States,New York,New York,8 - 10 years,1 year or less,College degree,Woman
25-34,Computing Or Tech,Salesforce Administrator ,105000,0,United StatesD,United States,Georgia,Atlanta ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Program Officer,105000,0,United StatesD,United States,California,sf,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Software Engineer,105000,0,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,5 - 7 years,College degree,Unknown
35-44,Education (Higher Education),Proposal Manager,105000,0,United StatesD,United States,Maryland,College Park,8 - 10 years,2 - 4 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Sr Portfolio Analyst,105000,36000,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Senior Revenue Operations Analyst ,105000,1000,United StatesD,United States,California,SF Bay Area (Remote),8 - 10 years,2 - 4 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Management Consultant,105000,16000,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Health Care,Infection Preventionist,105000,6000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Government And Public Administration,Senior Consultant/Human Capital Consultant,105000,0,United StatesD,United States,Virginia,Vienna,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Utilities & Telecommunications,Lead Data Strategist,105000,6000,CAD,Canada,Unknown,Calgary,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Government And Public Administration,"Manager, Occupational Health And Safety",105000,0,CAD,Canada,Unknown,Small Canadian City,8 - 10 years,5 - 7 years,Some college,Woman
25-34,Computing Or Tech,Accessibility Consultant,105000,15000,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,Unknown,Unknown
25-34,"Marketing, Advertising & Pr",Senior Copywriter,105000,31000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Financial Analyst,105000,2100,United StatesD,United States,Florida,Tampa,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Revenue Operations Analyst ,105000,20000,United StatesD,United States,California,Oakland,8 - 10 years,5 - 7 years,College degree,Man
25-34,Engineering Or Manufacturing,Senior Project Manager,105000,7500,United StatesD,United States,Pennsylvania,Lehigh Valley,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Brokerage Risk Specialist,104500,0,United StatesD,United States,Florida,Orlando,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Associate Consultant,104000,10000,United StatesD,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Engineering Or Manufacturing,Sales Operations Manager ,104000,12000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Product Owner,104000,10000,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Implementation Manager,104000,20000,United StatesD,United States,Minnesota,minneapolis,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Law,Paralegal,104000,2000,United StatesD,United States,North Carolina,Raleigh,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Human Resources Bunited Statesiness Partner,104000,16000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Health Care,Director Of Supply Chain,104000,9000,United StatesD,United States,Colorado,Denver,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Cyber Security Consultant,104000,5000,United StatesD,United States,Texas,Dallas,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Data Scientist,104000,0,United StatesD,United States,Virginia,Tysons corner,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Insurance,Operations Manager,104000,400,United StatesD,United States,Oregon,Portland,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Senior Software Developer,104000,5000,CAD,Canada,Unknown,Windsor,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Organized Labor,Area Coordinator ,103996,4800,United StatesD,United States,California,Sacramento,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Government And Public Administration,Occupational Health And Safety Manager,103690,0,United StatesD,United States,Maryland,Bethesda,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Computing Or Tech,Instructional Designer,103500,11500,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Computing Or Tech,United Stateser Experience Researcher Iii,103500,5175,United StatesD,United States,MassachUnited Statesetts,Lowell,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Government And Public Administration,Senior Hris Analyst,103000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Media & Digital,Hrbp,103000,10000,United StatesD,United States,New York,NYC,8 - 10 years,5 - 7 years,College degree,Woman
